lanczos,32,500,2.912940e-01 
lanczos,32,600,3.518650e-01 
lanczos,32,700,4.591430e-01 
lanczos,32,800,6.141880e-01 
lanczos,32,900,7.607640e-01 
lanczos,32,1000,1.027113e+00 
lanczos,32,1100,1.537837e+00 
lanczos,32,1200,1.995779e+00 
lanczos,32,1300,2.408801e+00 
lanczos,32,1400,2.987234e+00 
lanczos,32,1500,3.996701e+00 
lanczos,32,1600,4.407206e+00 
lanczos,32,1700,5.505239e+00 
lanczos,32,1800,5.557399e+00 
lanczos,32,1900,7.424896e+00
lanczos,64,500,2.831430e-01 
lanczos,64,600,3.887150e-01 
lanczos,64,700,4.827740e-01 
lanczos,64,800,6.231120e-01 

